airport,carrier,carrier_name,month,airport_name
AUS,AS,Alaska Airlines Inc.,8,"Austin, TX: Austin - Bergstrom International"
BET,AS,Alaska Airlines Inc.,8,"Bethel, AK: Bethel Airport"
BNA,AS,Alaska Airlines Inc.,8,"Nashville, TN: Nashville International"
BOI,AS,Alaska Airlines Inc.,8,"Boise, ID: Boise Air Terminal"
BOS,AS,Alaska Airlines Inc.,8,"Boston, MA: Logan International"
BRW,AS,Alaska Airlines Inc.,8,"Barrow, AK: Wiley Post/Will Rogers Memorial"
BUR,AS,Alaska Airlines Inc.,8,"Burbank, CA: Bob Hope"
BWI,AS,Alaska Airlines Inc.,8,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
BZN,AS,Alaska Airlines Inc.,8,"Bozeman, MT: Bozeman Yellowstone International"
CDV,AS,Alaska Airlines Inc.,8,"Cordova, AK: Merle K Mudhole Smith"
CHS,AS,Alaska Airlines Inc.,8,"Charleston, SC: Charleston AFB/International"
CLE,AS,Alaska Airlines Inc.,8,"Cleveland, OH: Cleveland-Hopkins International"
CMH,AS,Alaska Airlines Inc.,8,"Columbus, OH: John Glenn Columbus International"
CVG,AS,Alaska Airlines Inc.,8,"Cincinnati, OH: Cincinnati/Northern Kentucky International"
DAL,AS,Alaska Airlines Inc.,8,"Dallas, TX: Dallas Love Field"
DCA,AS,Alaska Airlines Inc.,8,"Washington, DC: Ronald Reagan Washington National"
DEN,AS,Alaska Airlines Inc.,8,"Denver, CO: Denver International"
DFW,AS,Alaska Airlines Inc.,8,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
DLG,AS,Alaska Airlines Inc.,8,"Dillingham, AK: Dillingham Airport"
DTW,AS,Alaska Airlines Inc.,8,"Detroit, MI: Detroit Metro Wayne County"
ELP,AS,Alaska Airlines Inc.,8,"El Paso, TX: El Paso International"
EUG,AS,Alaska Airlines Inc.,8,"Eugene, OR: Mahlon Sweet Field"
EWR,AS,Alaska Airlines Inc.,8,"Newark, NJ: Newark Liberty International"
FAI,AS,Alaska Airlines Inc.,8,"Fairbanks, AK: Fairbanks International"
FAT,AS,Alaska Airlines Inc.,8,"Fresno, CA: Fresno Yosemite International"
FLL,AS,Alaska Airlines Inc.,8,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
GEG,AS,Alaska Airlines Inc.,8,"Spokane, WA: Spokane International"
GST,AS,Alaska Airlines Inc.,8,"Gustavus, AK: Gustavus Airport"
HNL,AS,Alaska Airlines Inc.,8,"Honolulu, HI: Daniel K Inouye International"
IAD,AS,Alaska Airlines Inc.,8,"Washington, DC: Washington Dulles International"
IAH,AS,Alaska Airlines Inc.,8,"Houston, TX: George Bush Intercontinental/Houston"
IND,AS,Alaska Airlines Inc.,8,"Indianapolis, IN: Indianapolis International"
JAC,AS,Alaska Airlines Inc.,8,"Jackson, WY: Jackson Hole"
JFK,AS,Alaska Airlines Inc.,8,"New York, NY: John F. Kennedy International"
JNU,AS,Alaska Airlines Inc.,8,"Juneau, AK: Juneau International"
KOA,AS,Alaska Airlines Inc.,8,"Kona, HI: Ellison Onizuka Kona International at Keahole"
KTN,AS,Alaska Airlines Inc.,8,"Ketchikan, AK: Ketchikan International"
LAS,AS,Alaska Airlines Inc.,8,"Las Vegas, NV: Harry Reid International"
LAX,AS,Alaska Airlines Inc.,8,"Los Angeles, CA: Los Angeles International"
LIH,AS,Alaska Airlines Inc.,8,"Lihue, HI: Lihue Airport"
MCI,AS,Alaska Airlines Inc.,8,"Kansas City, MO: Kansas City International"
MCO,AS,Alaska Airlines Inc.,8,"Orlando, FL: Orlando International"
MIA,AS,Alaska Airlines Inc.,8,"Miami, FL: Miami International"
MKE,AS,Alaska Airlines Inc.,8,"Milwaukee, WI: General Mitchell International"
MSP,AS,Alaska Airlines Inc.,8,"Minneapolis, MN: Minneapolis-St Paul International"
