month,carrier,carrier_name,airport,airport_name
8,AS,Alaska Airlines Inc.,DEN,"Denver, CO: Denver International"
8,AS,Alaska Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
8,AS,Alaska Airlines Inc.,DLG,"Dillingham, AK: Dillingham Airport"
8,AS,Alaska Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County"
8,AS,Alaska Airlines Inc.,ELP,"El Paso, TX: El Paso International"
8,AS,Alaska Airlines Inc.,EUG,"Eugene, OR: Mahlon Sweet Field"
8,AS,Alaska Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International"
8,AS,Alaska Airlines Inc.,FAI,"Fairbanks, AK: Fairbanks International"
8,AS,Alaska Airlines Inc.,FAT,"Fresno, CA: Fresno Yosemite International"
8,AS,Alaska Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
8,AS,Alaska Airlines Inc.,GEG,"Spokane, WA: Spokane International"
8,AS,Alaska Airlines Inc.,GST,"Gustavus, AK: Gustavus Airport"
8,AS,Alaska Airlines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International"
8,AS,Alaska Airlines Inc.,IAD,"Washington, DC: Washington Dulles International"
8,AS,Alaska Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston"
8,AS,Alaska Airlines Inc.,IND,"Indianapolis, IN: Indianapolis International"
8,AS,Alaska Airlines Inc.,JAC,"Jackson, WY: Jackson Hole"
8,AS,Alaska Airlines Inc.,JFK,"New York, NY: John F. Kennedy International"
8,AS,Alaska Airlines Inc.,JNU,"Juneau, AK: Juneau International"
8,AS,Alaska Airlines Inc.,KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole"
8,AS,Alaska Airlines Inc.,KTN,"Ketchikan, AK: Ketchikan International"
8,AS,Alaska Airlines Inc.,LAS,"Las Vegas, NV: Harry Reid International"
8,AS,Alaska Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International"
8,AS,Alaska Airlines Inc.,LIH,"Lihue, HI: Lihue Airport"
8,AS,Alaska Airlines Inc.,MCI,"Kansas City, MO: Kansas City International"
